EMP_NO,FIRST_NAME,LAST_NAME,EMAIL,PHONE_NUMBER,HIRE_DATE,JOB,SAL,COMM,MGRNO,DEPTNO
198,Shiva,Das,ShivaDas@gmail.com,111222333444,21-Jun-07,CLERK,2600,,124,10
199,Ganesh,Das,GaneshDas@gmail.com,111222333445,13-Jan-08,CLERK,2600,100,124,20
200,Ram,Behera,RamBehera@gmail.com,111222333446,17-Sep-03,ENGG,4400,,101,30
201,Ayyapa,Kumar,AyyapaKumar@gmail.com,111222333447,17-Feb-04,ENGG,13000,200,100,40
202,Murugan,Singh,MuruganSingh@gmail.com,111222333448,17-Aug-05,HR,6000,,201,50
203,Venkateshwara,Tagore,VenkateshwaraTagore@gmail.com,111222333449,07-Jun-02,HR,6500,,101,60
204,Govinda,SIngh,GovindaSIngh@gmail.com,111222333450,07-Jun-02,FIN,10000,,101,70
205,Gopala,Raj,GopalaRaj@gmail.com,111222333451,07-Jun-02,FIN,12008,,101,80
206,Janardhana,Sharma,JanardhanaSharma@gmail.com,111222333452,07-Jun-02,ACC,8300,300,205,90
100,Vasudev,Mishra,VasudevMishra@gmail.com,111222333453,17-Jun-03,MKT,24000,, - ,100
101,Damodar,Patel,DamodarPatel@gmail.com,111222333454,21-Sep-05,MKT,17000,,100,110
102,Mukunda,Gupta,MukundaGupta@gmail.com,111222333455,13-Jan-01,MKT,17000,,100,120
103,Jagannath,Reddy,JagannathReddy@gmail.com,111222333456,03-Jan-06,IT,9000,,102,60
104,Parvathi,Nair,ParvathiNair@yahoo.com,111222333457,21-May-07,IT,6000,,103,60
105,Parthasarati,Chopra,ParthasaratiChopra@yahoo.com,111222333458,25-Jun-05,IT,4800,,103,60
106,Arjun,Desai,ArjunDesai@yahoo.com,111222333459,05-Feb-06,IT,4800,,103,60
107,Laxman,Iyer,LaxmanIyer@yahoo.com,111222333460,07-Feb-07,IT,4200,5000,103,60
108,Hanuman,Jain,HanumanJain@yahoo.com,111222333461,17-Aug-02,IT,12008,,101,60
109,Madhav,Roa,MadhavRoa@yahoo.com,111222333462,16-Aug-02,ACC,9000,,108,190
110,Madanmohan,Das,MadanmohanDas@yahoo.com,111222333463,28-Sep-05,ACC,8200,,108,200
111,Krishna,Yadhav,KrishnaYadhav@yahoo.com,111222333464,30-Sep-05,ACC,7700,,108,210
112,Gaura,Mehta,GauraMehta@gmail.com,111222333465,07-Mar-06,ACC,7800,100,108,220
113,Gopala,Chaudhary,GopalaChaudhary@gmail.com,111222333466,07-Dec-07,ACC,6900,,108,230
114,Madhusudana,Pandey,MadhusudanaPandey@gmail.com,111222333467,07-Dec-02,HR,11000,,100,240
115,Gopinath,Mishra,GopinathMishra@gmail.com,111222333468,18-May-03,CLERK,3100,,114,250
116,Yudhisthira,Paikray,YudhisthiraPaikray@gmail.com,111222333469,24-Dec-05,CLERK,2900,,114,260
117,Bhima,Mohanty,BhimaMohanty@gmail.com,111222333470,24-Jul-05,CLERK,2800,,114,270
118,Nakula,Kumar,NakulaKumar@gmail.com,111222333471,15-Nov-06,CLERK,2600,,114,10
119,Sahadev,Gupta,SahadevGupta@gmail.com,111222333472,10-Aug-07,CLERK,2500,,114,20
120,Rama,Reddy,RamaReddy@gmail.com,111222333473,18-Jul-04,ENGG,8000,,100,30
121,Bharata,Desai,BharataDesai@gmail.com,111222333474,10-Apr-05,ENGG,8200,250,100,40
122,Shatrughna,SIngh,ShatrughnaSIngh@gmail.com,111222333475,01-May-03,ENGG,7900,,100,50
123,Hanuman,Raj,HanumanRaj@gmail.com,111222333476,10-Oct-05,ENGG,6500,,100,60
124,Dasharatha,Sharma,DasharathaSharma@gmail.com,111222333477,16-Nov-07,ENGG,5800,,100,70
125,Kaikeyi,Mishra,KaikeyiMishra@gmail.com,111222333478,16-Jul-05,CLERK,3200,,120,80
126,Sumitra,Patel,SumitraPatel@gmail.com,111222333479,28-Sep-06,CLERK,2700,,120,90
127,Sugriva,Gupta,SugrivaGupta@gmail.com,111222333480,14-Jan-07,CLERK,2400,,120,100
128,Vibhishana,Reddy,VibhishanaReddy@gmail.com,111222333481,08-Mar-08,CLERK,2200,100,120,110
129,Jatayu,Nair,JatayuNair@gmail.com,111222333482,20-Aug-05,CLERK,3300,,121,120
130,Kumbhakarna,Chopra,KumbhakarnaChopra@gmail.com,111222333483,30-Oct-05,CLERK,2800,,121,130
131,Indrajit,Desai,IndrajitDesai@gmail.com,111222333484,16-Feb-05,CLERK,2500,,121,140
132,Ashwatthama,Iyer,AshwatthamaIyer@gmail.com,111222333485,10-Apr-07,CLERK,2100,,121,150
133,Shakuni,Jain,ShakuniJain@gmail.com,111222333486,14-Jun-04,CLERK,3300,2000,122,160
134,Gandhari,Roa,GandhariRoa@gmail.com,111222333487,26-Aug-06,CLERK,2900,,122,170
135,Kunti,Das,KuntiDas@gmail.com,111222333488,12-Dec-07,CLERK,2400,,122,180
136,Drona,Yadhav,DronaYadhav@gmail.com,111222333489,06-Feb-08,CLERK,2200,,122,190
137,Bhishma,Mehta,BhishmaMehta@gmail.com,111222333490,14-Jul-03,CLERK,3600,,123,200
138,Karna,Chaudhary,KarnaChaudhary@gmail.com,111222333491,26-Oct-05,CLERK,3200,,123,210
139,Draupadi,Pandey,DraupadiPandey@gmail.com,111222333492,12-Feb-06,CLERK,2700,,123,220
140,Sahadeva,Mishra,SahadevaMishra@gmail.com,111222333493,06-Apr-06,CLERK,2500,500,123,230
141,Arjuna,Paikray,ArjunaPaikray@gmail.com,111222333494,21-Jun-07,ENGG,2600,,198,60
142,Krishna,Mohanty,KrishnaMohanty@gmail.com,111222333495,13-Jan-08,ENGG,2600,,199,60
143,Abhimanyu,Kumar,AbhimanyuKumar@gmail.com,111222333496,17-Sep-03,ENGG,4400,,104,60
144,Dhristadyumna,Gupta,DhristadyumnaGupta@outlook.com,111222333497,17-Feb-04,ENGG,13000,,103,60
145,Vidura,Reddy,ViduraReddy@outlook.com,111222333498,17-Aug-05,ENGG,6000,,104,60
146,Satyaki,Desai,SatyakiDesai@outlook.com,111222333499,07-Jun-02,ENGG,6500,400,105,60
147,Shalya,Roa,ShalyaRoa@outlook.com,111222333500,07-Jun-02,ENGG,10000,,111,60
148,Uttara,Das,UttaraDas@outlook.com,111222333501,07-Jun-02,IT,12008,,201,60
149,Ghatotkacha,Yadhav,GhatotkachaYadhav@outlook.com,111222333502,07-Jun-02,IT,8300,,130,60
150,Ekalavya,Mehta,EkalavyaMehta@gmail.com,111222333503,17-Jun-03,IT,24000,350,111,60
151,Sanjaya,Chaudhary,SanjayaChaudhary@gmail.com,111222333504,21-Sep-05,IT,17000,,111,60
152,Kritavarma,Pandey,KritavarmaPandey@gmail.com,111222333505,13-Jan-01,IT,17000,,111,60
153,Lava,Mishra,LavaMishra@gmail.com,111222333506,03-Jan-06,IT,9000,,111,60
154,Kusha,Paikray,KushaPaikray@gmail.com,111222333507,21-May-07,IT,6000,,200,60
155,Shabari,Mohanty,ShabariMohanty@gmail.com,111222333508,25-Jun-05,IT,4800,,140,60
156,Jambavan,Kumar,JambavanKumar@gmail.com,111222333509,05-Feb-06,IT,4800,,149,60
157,Angada,Gupta,AngadaGupta@gmail.com,111222333510,07-Feb-07,HR,4200,,111,40
158,Mandodari,Reddy,MandodariReddy@gmail.com,111222333511,17-Aug-02,HR,12008,150,111,40
159,Surpanakha,Desai,SurpanakhaDesai@gmail.com,111222333512,16-Aug-02,HR,9000,,200,40
160,Maricha,Paikray,MarichaPaikray@gmail.com,111222333513,28-Sep-05,HR,8200,,200,40
161,Kabandha,Mohanty,KabandhaMohanty@gmail.com,111222333514,30-Sep-05,HR,7700,,200,40
162,Tara,Kumar,TaraKumar@gmail.com,111222333515,07-Mar-06,HR,7800,,199,40
163,Caitanya,Mahaprabhu,CaitanyaMahaprabhu@gmail.com,111222333516,07-Dec-07,HR,6900,,199,40
164,Nityananda,Das,NityanandaDas@gmail.com,111222333517,07-Dec-02,HR,11000,700,111,40
165,Advaita,Acharya,AdvaitaAcharya@gmail.com,111222333518,18-May-03,HR,3100,,199,40
166,gadhadhara,Pandita,gadhadharaPandita@gmail.com,111222333519,24-Dec-05,HR,2900,,111,40
167,Sriva,Acharya,SrivaAcharya@gmail.com,111222333520,24-Jul-05,FIN,2800,,111,230
168,hari,Das,hariDas@gmail.com,111222333521,15-Nov-06,FIN,2600,,111,240
169,Rupa,Goswami,RupaGoswami@gmail.com,111222333522,10-Aug-07,ACC,2500,,111,250
170,raghunath,das,raghunathdas@gmail.com,111222333523,18-Jul-04,ACC,8000,600,199,260
171,Jagannath,das,Jagannathdas@gmail.com,111222333524,10-Apr-05,ACC,9000,,200,270
172,Bhatta,Goswami,BhattaGoswami@gmail.com,111222333525,01-May-03,HR,10000,,111,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
